"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
115,"PRATHMIK VIDYALYA MIRAPUR ROOM NO 1",201,181,0,382,181,134,0,315,315,0,296,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,315
116,"PRATHMIK VIDYALYA MIRAPUR ROOM NO 2",455,401,0,856,360,338,0,698,698,0,510,4,168,2,0,3,0,0,0,1,0,0,0,2,1,7,698
117,"PRATHMIK VIDYALYA PARTAPUR ROOM NO 1",777,609,0,1386,597,416,0,1013,1013,0,335,106,524,29,1,8,0,0,0,0,0,0,0,2,6,2,1013
118,"PRATHMIK VIDYALYA PARTAPUR 2",757,631,0,1388,579,448,0,1027,1027,0,180,113,627,85,1,2,0,0,0,0,0,0,0,0,13,6,1027
119,"PRATHMIK VIDYALYA KHERA ROOM NO 1",625,546,0,1171,453,334,0,787,787,0,68,55,634,7,0,5,0,1,0,0,1,0,2,4,6,4,787
120,"PRATHMIK VIDYALYA KHERA ROOM NO 2",837,659,0,1496,573,416,0,989,989,0,60,97,771,26,0,9,0,0,2,2,1,0,1,9,10,1,989
121,"NAV BHARAT UCHTER MADHYMIK VIDLAYA KHERA ROOM NO 1",732,629,1,1362,496,365,0,861,861,0,53,20,750,11,0,6,2,1,0,1,0,0,3,5,5,4,861
122,"NAV BHARAT UCHTTER MADHYMIK VIDLAYA KHERA ROOM NO 2",737,635,0,1372,501,371,0,872,872,0,50,38,743,12,2,4,0,1,0,0,1,1,2,9,3,6,872
123,"PRATHMIK VIDYALYA NO 2 KHERA ROOM NO 1",724,652,0,1376,569,472,0,1041,1041,0,756,11,255,2,0,4,0,1,0,0,0,0,0,4,2,6,1041
124,"PRATHMIK VIDYALYA CHIJARSHI  KULICHNAGARROOM NO 1",500,448,0,948,370,328,0,698,698,0,101,23,541,12,0,5,0,0,0,0,0,2,0,5,3,6,698
125,"PRATHMIK VIDYALYA CHIJARSHI KULICHNAGAR ROOM NO 2",757,573,0,1330,521,328,0,849,849,0,108,19,651,44,0,21,0,0,0,1,0,0,0,2,3,0,849
126,"PRATHMIK VIDYALYA LAKAHAN ROOM NO 1",483,414,0,897,431,347,0,778,778,0,0,3,743,6,1,3,1,1,1,2,2,1,1,6,3,4,778
